日付,ユーザ,種別,url,テキスト,緯度,経度,,,,,,,,,,,,,,,,,,,
2019/6/19 9:01,あすきー,location,,日本、〒959-3907 新潟県村上市府屋２０９?１,38.51481813,139.5327515,,,,,,,,,,,,,,,,,,,
2019/6/19 9:01,あすきー,image,https://www.dropbox.com/s/5mnv3euqnxuqb0n/image-iiiaIu.jpg?dl=0,,38.51481813,139.5327515,,,,,,,,,,,,,,,,,,,
2019/6/19 9:05,あすきー,location,,日本、〒959-3907 新潟県村上市府屋１７７?１,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/s591ohbsznhzami/image-kNqCFz.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/99sw8nzu7m43ttd/image-7p8UPE.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/4xed552f7jqbsz5/image-g4WXeH.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/8sefmbtietypgbr/image-ZvqQ9L.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/cebaorphfm33e2b/image-WfwDRT.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/kgvbncmjlhen6u1/image-MI2Ffe.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/vafjandaca9lxnu/image-2qp3uu.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/gjm3lt636zh5wbm/image-2IzqCA.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/dqdh7o026uu23zr/image-39QcdR.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/sc7hnanvyjspsxq/image-6X3aKe.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:06,あすきー,image,https://www.dropbox.com/s/aei8hx3tddmd707/image-XXDgX0.jpg?dl=0,,38.51322869,139.533245,,,,,,,,,,,,,,,,,,,
2019/6/19 9:09,tom maehara,location,,"府屋駅 府屋 (羽越本線) 村上市, 新潟県 959-3907 日本",38.514061,139.531307,,,,,,,,,,,,,,,,,,,
2019/6/19 9:09,tom maehara,image,https://www.dropbox.com/s/gfbrjawmty15pyi/image-qwT6I3.jpg?dl=0,,38.514061,139.531307,,,,,,,,,,,,,,,,,,,
2019/6/19 9:09,tom maehara,image,https://www.dropbox.com/s/kwat2h7jqkd05zv/image-AiN4yV.jpg?dl=0,,38.514061,139.531307,,,,,,,,,,,,,,,,,,,
2019/6/19 9:10,tom maehara,voice,https://www.dropbox.com/s/1q169ncm6ty40ae/voice-vfmFdx.mp4?dl=0,業者による屋根の瓦降ろしが始まってません雨のための対策で必死そうです,38.514061,139.531307,,,,,,,,,,,,,,,,,,,
2019/6/19 9:10,tom maehara,text,,雨対策で終われています,38.514061,139.531307,,,,,,,,,,,,,,,,,,,
2019/6/19 10:10,あすきー,location,,日本、〒959-3905 新潟県村上市堀ノ内４３,38.51473535,139.5456654,,,,,,,,,,,,,,,,,,,
2019/6/19 10:10,あすきー,text,,目立った被害なし,38.51473535,139.5456654,,,,,,,,,,,,,,,,,,,
2019/6/19 10:10,あすきー,image,https://www.dropbox.com/s/sflkrczsjs36iqg/image-hb1IBz.jpg?dl=0,,38.51473535,139.5456654,,,,,,,,,,,,,,,,,,,
2019/6/19 10:17,あすきー,location,,日本、〒959-3905 新潟県村上市堀ノ内５３２,38.51499507,139.5444965,,,,,,,,,,,,,,,,,,,
2019/6/19 10:18,あすきー,text,,古い家屋が1?2軒,38.51499507,139.5444965,,,,,,,,,,,,,,,,,,,
2019/6/19 10:25,あすきー,location,,日本、〒959-3907 新潟県村上市府屋５４６?３３,38.51774939,139.5329456,,,,,,,,,,,,,,,,,,,
2019/6/19 10:25,あすきー,image,https://www.dropbox.com/s/4pt70yoy13j0wgh/image-xmKmO3.jpg?dl=0,,38.51774939,139.5329456,,,,,,,,,,,,,,,,,,,
2019/6/19 10:27,あすきー,location,,日本、〒959-3903 新潟県村上市岩崎２６２?４,38.52400842,139.5388188,,,,,,,,,,,,,,,,,,,
2019/6/19 10:27,あすきー,text,,"岩崎
海沿いの集落
十数件の瓦被害か？",38.52400842,139.5388188,,,,,,,,,,,,,,,,,,,
2019/6/19 10:28,あすきー,location,,日本、〒959-3902 新潟県村上市中浜２?５６,38.53198133,139.5437471,,,,,,,,,,,,,,,,,,,
2019/6/19 10:30,あすきー,text,,"勝木
府屋
岩崎
中浜
海沿いに点在する集落
集落の5割弱に瓦被害という印象",38.53198133,139.5437471,,,,,,,,,,,,,,,,,,,
2019/6/19 10:36,あすきー,location,,日本、〒959-3902 新潟県村上市中浜８９０?３,38.53973928,139.5497928,,,,,,,,,,,,,,,,,,,
2019/6/19 10:36,あすきー,image,https://www.dropbox.com/s/vpmx4qsjik5eou3/image-NsTXTw.jpg?dl=0,,38.53973928,139.5497928,,,,,,,,,,,,,,,,,,,
2019/6/19 10:36,あすきー,text,,1、2軒,38.53973928,139.5497928,,,,,,,,,,,,,,,,,,,
2019/6/19 10:40,あすきー,location,,日本、〒999-7126 山形県鶴岡市鼠ヶ関乙２０８?３１,38.55789965,139.5448974,,,,,,,,,,,,,,,,,,,
2019/6/19 10:40,あすきー,image,https://www.dropbox.com/s/4wj5uscsg5hyz2x/image-WTIi3F.jpg?dl=0,,38.55789965,139.5448974,,,,,,,,,,,,,,,,,,,
2019/6/19 10:40,あすきー,image,https://www.dropbox.com/s/xtzks3my8m9ffvi/image-rPwiOY.jpg?dl=0,,38.55789965,139.5448974,,,,,,,,,,,,,,,,,,,
2019/6/19 10:41,あすきー,location,,日本、〒999-7126 山形県鶴岡市鼠ヶ関乙１２５?１３,38.55732304,139.548343,,,,,,,,,,,,,,,,,,,
2019/6/19 10:41,あすきー,image,https://www.dropbox.com/s/t1hcuqiwlid0kpa/image-PHDRzL.jpg?dl=0,,38.55732304,139.548343,,,,,,,,,,,,,,,,,,,
2019/6/19 10:41,あすきー,image,https://www.dropbox.com/s/mun7cau09dj6w4a/image-9YhmQq.jpg?dl=0,,38.55732304,139.548343,,,,,,,,,,,,,,,,,,,
2019/6/19 10:41,あすきー,image,https://www.dropbox.com/s/ieg1irlutq6y91q/image-pxY6Fk.jpg?dl=0,,38.55732304,139.548343,,,,,,,,,,,,,,,,,,,
2019/6/19 10:41,あすきー,image,https://www.dropbox.com/s/o8dvh9lwmyvf60z/image-KbAjiV.jpg?dl=0,,38.55732304,139.548343,,,,,,,,,,,,,,,,,,,
2019/6/19 10:43,あすきー,location,,日本、〒999-7126 山形県鶴岡市鼠ヶ関乙７２?２,38.5556809,139.5471296,,,,,,,,,,,,,,,,,,,
2019/6/19 10:43,あすきー,image,https://www.dropbox.com/s/fs286tqjcoea448/image-7WjrIU.jpg?dl=0,,38.5556809,139.5471296,,,,,,,,,,,,,,,,,,,
2019/6/19 10:43,あすきー,image,https://www.dropbox.com/s/wemzkmj3570105m/image-RcNJkw.jpg?dl=0,,38.5556809,139.5471296,,,,,,,,,,,,,,,,,,,
2019/6/19 10:45,あすきー,location,,日本、〒959-3901 新潟県村上市伊呉野１２５１?１８,38.55226289,139.5494012,,,,,,,,,,,,,,,,,,,
2019/6/19 10:45,あすきー,image,https://www.dropbox.com/s/394hizwxp7ietf3/image-KEXPQv.jpg?dl=0,,38.55226289,139.5494012,,,,,,,,,,,,,,,,,,,
2019/6/19 10:45,あすきー,text,,同じ通りを通っていたら県境,38.55226289,139.5494012,,,,,,,,,,,,,,,,,,,
2019/6/19 10:49,あすきー,location,,日本、新潟県村上市 日本海パークライン,38.53086699,139.5422583,,,,,,,,,,,,,,,,,,,
2019/6/19 10:50,あすきー,location,,日本、〒959-3903 新潟県村上市岩崎７９,38.52289227,139.5380707,,,,,,,,,,,,,,,,,,,
2019/6/19 10:50,あすきー,text,,15軒ほど,38.52289227,139.5380707,,,,,,,,,,,,,,,,,,,
2019/6/19 10:50,あすきー,text,,いや20か？,38.52289227,139.5380707,,,,,,,,,,,,,,,,,,,
2019/6/19 10:51,あすきー,image,https://www.dropbox.com/s/raqzmsu19qhzq5l/image-MuBcPU.jpg?dl=0,,38.52289227,139.5380707,,,,,,,,,,,,,,,,,,,
2019/6/19 13:06,tom maehara,location,,"勝木ゆり花温泉「ゆり花会館」 勝木862-1 (R345) 村上市, 新潟県 959-3942 日本",38.491392,139.521318,,,,,,,,,,,,,,,,,,,
2019/6/19 13:06,tom maehara,image,https://www.dropbox.com/s/x6du1t0ddjtanp9/image-P7VD7I.jpg?dl=0,,38.491392,139.521318,,,,,,,,,,,,,,,,,,,
2019/6/19 13:08,tom maehara,text,,村上市社協に県社協と新潟市社協、野村防災、チーム中越、openjapan、レスキューアシスト,38.491392,139.521318,,,,,,,,,,,,,,,,,,,
2019/6/19 2:38,あすきー,location,,日本、〒959-3942 新潟県村上市勝木８６２,38.49127998,139.5211886,,,,,,,,,,,,,,,,,,,
2019/6/19 2:38,あすきー,image,https://www.dropbox.com/s/jxbx3o2gfcbs0ou/image-m6yZMs.jpg?dl=0,,38.49127998,139.5211886,,,,,,,,,,,,,,,,,,,
2019/6/19 2:38,あすきー,text,,避難で来られる方が増えてきた,38.49127998,139.5211886,,,,,,,,,,,,,,,,,,,
2019/6/19 2:38,あすきー,text,,@ゆり花会館,38.49127998,139.5211886,,,,,,,,,,,,,,,,,,,
2019/6/19 3:00,あすきー,location,,日本、〒999-7122 山形県鶴岡市小岩川６７,38.59158004,139.5647849,,,,,,,,,,,,,,,,,,,
2019/6/19 3:01,あすきー,image,https://www.dropbox.com/s/7lq9qwq5ndh1cj3/image-miwVK2.jpg?dl=0,,38.59158004,139.5647849,,,,,,,,,,,,,,,,,,,
2019/6/19 3:01,あすきー,image,https://www.dropbox.com/s/alnhd0cyq6rbx1g/image-HyoW9l.jpg?dl=0,,38.59158004,139.5647849,,,,,,,,,,,,,,,,,,,
2019/6/19 3:01,あすきー,image,https://www.dropbox.com/s/uul5i41x7pdi5tl/image-ixGX8b.jpg?dl=0,,38.59158004,139.5647849,,,,,,,,,,,,,,,,,,,
2019/6/19 3:01,あすきー,text,,ここが一番ひどい印象,38.59158004,139.5647849,,,,,,,,,,,,,,,,,,,
2019/6/19 3:08,あすきー,location,,"鶴岡市役所温海庁舎 温海577-1 鶴岡市, 山形県 999-7205 日本",38.62119752,139.58737,,,,,,,,,,,,,,,,,,,
2019/6/19 3:08,あすきー,text,,山形県社協と打ち合わせ,38.62119752,139.58737,,,,,,,,,,,,,,,,,,,
2019/6/19 3:36,tom maehara,location,,"あつみ温泉 湯温海 鶴岡市, 山形県 日本",38.61629,139.604928,,,,,,,,,,,,,,,,,,,
2019/6/19 3:36,tom maehara,image,https://www.dropbox.com/s/9ayjn9i32c3d5w4/image-J09d4l.jpg?dl=0,,38.61629,139.604928,,,,,,,,,,,,,,,,,,,
2019/6/19 3:37,tom maehara,text,,山形県県社協、あつみ社協、千川原さん、あつみ庁舎、レスキューアシスト、openjapan,38.61629,139.604928,,,,,,,,,,,,,,,,,,,
2019/6/19 3:41,tom maehara,location,,"あつみ温泉 湯温海 鶴岡市, 山形県 日本",38.61629,139.604928,,,,,,,,,,,,,,,,,,,
2019/6/19 3:41,tom maehara,image,https://www.dropbox.com/s/xgwg5mmiis2dyoz/image-KUOBbO.jpg?dl=0,,38.61629,139.604928,,,,,,,,,,,,,,,,,,,
2019/6/19 3:41,tom maehara,image,https://www.dropbox.com/s/wyw0v3qg3akucyy/image-2jm9fO.jpg?dl=0,,38.61629,139.604928,,,,,,,,,,,,,,,,,,,
2019/6/19 3:42,tom maehara,voice,https://www.dropbox.com/s/4vws3buzgfgwjdf/voice-cXJOIt.mp4?dl=0,完全バンダイダスティブルーシートの配布,38.61629,139.604928,,,,,,,,,,,,,,,,,,,
2019/6/19 3:42,tom maehara,text,,２千番台のブルーシートが配布されている様子,38.61629,139.604928,,,,,,,,,,,,,,,,,,,
2019/6/19 3:45,あすきー,location,,日本、〒999-7123 山形県鶴岡市大岩川甲７２?４,38.61329669,139.5782618,,,,,,,,,,,,,,,,,,,
2019/6/19 3:46,あすきー,image,https://www.dropbox.com/s/nk2c58nl7wnwj5x/image-vpI0qm.jpg?dl=0,,38.61329669,139.5782618,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,location,,日本、〒999-7122 山形県鶴岡市小岩川大磯２６２?２５,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,image,https://www.dropbox.com/s/9hhfb2nx6eriu0a/image-euGxkR.jpg?dl=0,,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,image,https://www.dropbox.com/s/o2hmwie05bvswnc/image-RDdzfe.jpg?dl=0,,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,image,https://www.dropbox.com/s/m0y48ai8a2k7dm7/image-R7x3IP.jpg?dl=0,,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,image,https://www.dropbox.com/s/bwkp8354mjklv8c/image-9NJrLR.jpg?dl=0,,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,image,https://www.dropbox.com/s/775x3vsnoaqb3wb/image-7DHnWt.jpg?dl=0,,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,image,https://www.dropbox.com/s/50w7zgbkk24rtta/image-n3NKrF.jpg?dl=0,,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,image,https://www.dropbox.com/s/dc38qlipl03zqx8/image-qsUoTj.jpg?dl=0,,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:49,あすきー,image,https://www.dropbox.com/s/trgzozymfe7v8eo/image-TyBHfE.jpg?dl=0,,38.58864052,139.5622066,,,,,,,,,,,,,,,,,,,
2019/6/19 3:58,成田亮,location,,日本、〒959-3934 新潟県村上市上大鳥 不動橋,38.464688,139.565541,,,,,,,,,,,,,,,,,,,
2019/6/19 3:58,成田亮,voice,https://www.dropbox.com/s/lly5faz7mea8od1/voice-xSYOqn.mp4?dl=0,雨の影響で河川が増水している状況,38.464688,139.565541,,,,,,,,,,,,,,,,,,,
2019/6/19 3:59,成田亮,image,https://www.dropbox.com/s/3dj4l4u4o73bkgp/image-2X3AF2.jpg?dl=0,,38.464688,139.565541,,,,,,,,,,,,,,,,,,,
2019/6/19 4:00,成田亮,image,https://www.dropbox.com/s/eid48z9qp051la3/image-NWz3Rq.jpg?dl=0,,38.464688,139.565541,,,,,,,,,,,,,,,,,,,
2019/6/19 4:01,成田亮,location,,日本、〒959-3943 新潟県村上市下大蔵１３０?３,38.485385,139.529022,,,,,,,,,,,,,,,,,,,
2019/6/19 4:03,成田亮,location,,日本、〒959-3942 新潟県村上市勝木８６２?１,38.49101,139.521047,,,,,,,,,,,,,,,,,,,
2019/6/19 4:03,成田亮,voice,https://www.dropbox.com/s/dp3kyv6nvve775u/voice-tbQuII.mp4?dl=0,7号線沿いの家屋には被害は確認できません,38.49101,139.521047,,,,,,,,,,,,,,,,,,,
2019/6/19 4:08,成田亮,voice,https://www.dropbox.com/s/9xh87jy46z5y28q/voice-VZbVNb.mp4?dl=0,災害 NGO 結 B 3などと合流,38.49101,139.521047,,,,,,,,,,,,,,,,,,,
2019/6/19 4:08,成田亮,text,,李さんです。,38.49101,139.521047,,,,,,,,,,,,,,,,,,,
2019/6/19 4:18,成田亮,text,,村上市社会福祉協議会の本所(村上市市役所内)へ移動、そこで情報共有,38.49101,139.521047,,,,,,,,,,,,,,,,,,,
2019/6/19 5:00,あすきー,location,,"村上市役所 三之町1-1 村上市, 新潟県 958-0837 日本",38.22351585,139.4798346,,,,,,,,,,,,,,,,,,,
2019/6/19 5:00,あすきー,image,https://www.dropbox.com/s/zjk1wy1roy4kwte/image-QFCd4S.jpg?dl=0,,38.22351585,139.4798346,,,,,,,,,,,,,,,,,,,
2019/6/19 5:04,成田亮,location,,"村上市役所 三之町1-1 村上市, 新潟県 958-0837 日本",38.223515,139.479834,,,,,,,,,,,,,,,,,,,
2019/6/19 5:04,成田亮,voice,https://www.dropbox.com/s/sy0wep4yrtp9314/voice-8CV4pm.mp4?dl=0,村上市役所でこれからの支援について打ち合わせ,38.223515,139.479834,,,,,,,,,,,,,,,,,,,
2019/6/19 5:06,成田亮,image,https://www.dropbox.com/s/9eoce3hkvp6ur41/image-dKIrZA.jpg?dl=0,,38.223515,139.479834,,,,,,,,,,,,,,,,,,,
2019/6/19 5:29,成田亮,image,https://www.dropbox.com/s/byfqfbbrrqf0p8v/image-lQntI4.jpg?dl=0,,38.223515,139.479834,,,,,,,,,,,,,,,,,,,
2019/6/19 5:29,成田亮,image,https://www.dropbox.com/s/9e5ikc0qoek1x5j/image-ompn40.jpg?dl=0,,38.223515,139.479834,,,,,,,,,,,,,,,,,,,
2019/6/19 5:29,成田亮,image,https://www.dropbox.com/s/n4n2a9u5kzs44hg/image-QnpXjs.jpg?dl=0,,38.223515,139.479834,,,,,,,,,,,,,,,,,,,
2019/6/19 5:30,あすきー,location,,"村上市役所 三之町1-1 村上市, 新潟県 958-0837 日本",38.22351585,139.4798346,,,,,,,,,,,,,,,,,,,
2019/6/19 5:30,あすきー,image,https://www.dropbox.com/s/0vke8x8mo6llqim/image-QIFRrl.jpg?dl=0,,38.22351585,139.4798346,,,,,,,,,,,,,,,,,,,
2019/6/19 10:09,Yasuhiko Chiba,image,https://www.dropbox.com/s/hgyo2cnwxnlojzl/image-huFOi6.jpg?dl=0,,38.22351585,139.4798346,,,,,,,,,,,,,,,,,,,
2019/6/19 10:09,Yasuhiko Chiba,text,,試し,38.22351585,139.4798346,,,,,,,,,,,,,,,,,,,
